,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans
35,nm0000230,18,8.22522581280817,Sylvester Stallone,writer,0.92,8.589272185622441,0.766583378661043,1.5280000584724467,5
36,nm0000231,15,2.731661441455989,Oliver Stone,writer,0.44,6.995157511969215,0.05210952317913194,0.7756608550074942,5
37,nm0000233,12,2.565042722551979,Quentin Tarantino,writer,0.41,5.4010428383159885,0.030439672706167865,0.7286396547909345,5
38,nm0000235,2,1.239156618181818,Uma Thurman,writer,0.09,0.08732725947190056,-0.14200045775981415,0.2270801858142996,1
39,nm0000241,2,5.839711572916666,Jean-Claude Van Damme,writer,0.77,0.08732725947190056,0.4563317021410923,1.292894057389649,6
40,nm0000246,1,0.26489353846153846,Bruce Willis,writer,-0.59,-0.44404429841250825,-0.2687097218673529,-0.8387336857610499,1
41,nm0000251,5,1.3251440889590964,Timothy Dowling,writer,0.12,1.6814419331251271,-0.13081722668860737,0.2741013860308591,3
42,nm0000255,5,3.5342248506193235,Ben Affleck,writer,0.55,1.6814419331251271,0.15648812593180986,0.9480719224682125,3
43,nm0000257,1,7.7580993846153845,Alan Alda,writer,0.89,-0.44404429841250825,0.7058305417799773,1.4809788582558872,6
44,nm0000264,4,0.785426003997421,Pedro Almodóvar,writer,-0.1,1.1500703752407182,-0.20101108171045487,-0.07072074889057751,3
45,nm0000265,2,1.1831543961988304,Robert Altman,writer,0.07,0.08732725947190056,-0.14928391177091013,0.1957327190032599,1
46,nm0000269,2,0.435535185130719,Jean-Jacques Annaud,writer,-0.36,0.08732725947190056,-0.24651666341566822,-0.4782378174340935,1
47,nm0000316,8,12.59410724593121,Mel Brooks,writer,1.1,3.2755566067783533,1.3347848869467183,1.810127259771804,0
48,nm0000318,3,1.6860183181623931,Tim Burton,writer,0.23,0.6186988173563094,-0.08388318087538266,0.4465124534915774,3
49,nm0000335,1,0.40195946666666665,Glenn Close,writer,-0.4,-0.44404429841250825,-0.2508834044602775,-0.5409327510561729,1
50,nm0000338,9,4.218840887332679,Francis Ford Coppola,writer,0.63,3.806928164662762,0.24552690407484995,1.0734617897123713,0
51,nm0000339,1,1.3010667,Roger Corman,writer,0.11,-0.44404429841250825,-0.13394864806763981,0.25842765262533923,1
52,nm0000341,12,2.0542384374359006,Michael Crichton,writer,0.31,5.4010428383159885,-0.03599375417542813,0.5719023207357361,5
53,nm0000343,2,0.24713098152368707,David Cronenberg,writer,-0.6,0.08732725947190056,-0.27101985817972307,-0.8544074191665698,1
54,nm0000345,1,2.034949413043478,Billy Crystal,writer,0.31,-0.44404429841250825,-0.038502417530317794,0.5719023207357361,1
55,nm0000354,2,6.975941475,Matt Damon,writer,0.84,0.08732725947190056,0.6041058072537436,1.402610191228288,6
56,nm0000361,7,1.3373101578377267,Brian De Palma,writer,0.13,2.7441850488939448,-0.12923495012821934,0.2897751194363789,0
57,nm0000365,2,2.8076000833333334,Julie Delpy,writer,0.45,0.08732725947190056,0.06198583855009607,0.7913345884130141,1
58,nm0000369,1,0.02041125714285714,Matt Dillon,writer,-1.7,-0.44404429841250825,-0.3005062361744706,-2.5785180937737526,1
59,nm0000380,1,3.9736708,Robert Duvall,writer,0.6,-0.44404429841250825,0.21364093611225007,1.0264405894958115,1
60,nm0000382,5,0.7313928263225806,Atom Egoyan,writer,-0.14,1.6814419331251271,-0.20803844867435195,-0.1334156825126569,3
61,nm0000386,7,1.337551672403834,Roland Emmerich,writer,0.13,2.7441850488939448,-0.12920353958462005,0.2897751194363789,0
62,nm0000390,7,2.4861355385590604,Joe Eszterhas,writer,0.4,2.7441850488939448,0.020177279083070192,0.7129659213854148,0
63,nm0000391,1,0.03588,Rupert Everett,writer,-1.4,-0.44404429841250825,-0.29849442533518467,-2.1083060916081573,1
64,nm0000410,2,0.7172127125,Stephen Fry,writer,-0.14,0.08732725947190056,-0.20988266490795512,-0.1334156825126569,1
65,nm0000416,5,2.2864039624324324,Terry Gilliam,writer,0.36,1.6814419331251271,-0.005799114312962043,0.6502709877633354,3
66,nm0000419,2,1.5671613333333332,Jean-Luc Godard,writer,0.2,0.08732725947190056,-0.09934130650409378,0.39949125327501783,1
67,nm0000431,1,1.88329,Taylor Hackford,writer,0.27,-0.44404429841250825,-0.05822671276609506,0.5092073871136568,1
68,nm0000436,2,0.9754532337662338,Curtis Hanson,writer,-0.01,0.08732725947190056,-0.17629680181460422,0.0703428517591011,1
69,nm0000438,1,1.0105697,Ed Harris,writer,0.0,-0.44404429841250825,-0.171729676479407,0.08601658516462095,1
70,nm0000455,9,4.208133582461171,John Hughes,writer,0.62,3.806928164662762,0.24413434928232583,1.0577880563068514,0
71,nm0000464,5,1.1544231654545454,Jim Jarmusch,writer,0.06,1.6814419331251271,-0.15302059560948633,0.18005898559774003,3
72,nm0000466,2,1.6879331103645148,Jean-Pierre Jeunet,writer,0.23,0.08732725947190056,-0.08363414966820673,0.4465124534915774,1
73,nm0000484,2,2.532358727777778,John Landis,writer,0.4,0.08732725947190056,0.026188906139992835,0.7129659213854148,1
74,nm0000490,11,5.199628157308147,Spike Lee,writer,0.72,4.86967128043158,0.37308468165204606,1.2145253903620497,0
75,nm0000500,10,7.0205972401207735,Richard Linklater,writer,0.85,4.338299722547171,0.6099135805897064,1.4182839246338077,0
76,nm0000513,1,0.0116586,William H. Macy,writer,-2.0,-0.44404429841250825,-0.3016445762888013,-3.048730095939348,1
77,nm0000517,4,0.6631892593864469,Terrence Malick,writer,-0.18,1.1500703752407182,-0.21690876712926863,-0.19611061613473627,3
78,nm0000519,13,1.5468697425661209,David Mamet,writer,0.19,5.9324143962003975,-0.10198036015110563,0.383817519869498,5
79,nm0000520,3,0.6150528171174522,Michael Mann,writer,-0.21,0.6186988173563094,-0.22316922521663712,-0.24313181635129577,3
80,nm0000552,4,3.197708604761905,Eddie Murphy,writer,0.51,1.1500703752407182,0.11272199462663163,0.885376988846133,3
81,nm0000559,2,3.672523509259259,Leonard Nimoy,writer,0.56,0.08732725947190056,0.17447476796730318,0.9637456558737324,1
82,nm0000570,2,0.7158165945454545,Alan Parker,writer,-0.14,0.08732725947190056,-0.21006423914833233,-0.1334156825126569,1
83,nm0000576,2,0.5921682625,Sean Penn,writer,-0.23,0.08732725947190056,-0.22614551071422437,-0.2744792831623355,1
