,Unnamed: 0,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,avg_budget
93,93,nm0000626,5,4.383020228301159,John Sayles,writer,0.64,1.6814419331251271,0.2668794975465738,1.089135523117891,3,23820000.0
94,94,nm0000632,1,0.8442085133333334,Jerry Seinfeld,writer,-0.08,-0.4440442984125082,-0.1933660332062188,-0.0393732820795378,1,150000000.0
95,95,nm0000636,7,1.1279970047362682,William Shakespeare,writer,0.05,2.7441850488939448,-0.1564574900659218,0.1643852521922202,0,13100000.0
96,96,nm0000638,1,1.7403349666666668,William Shatner,writer,0.24,-0.4440442984125082,-0.076818946682355,0.4621861868970972,1,30000000.0
97,97,nm0000653,1,0.7209068166666667,Brent Spiner,writer,-0.14,-0.4440442984125082,-0.2094022225816079,-0.1334156825126569,1,60000000.0
98,98,nm0000659,1,3.351574916666667,Barbra Streisand,writer,0.53,-0.4440442984125082,0.1327333114446629,0.9167244556571728,1,12000000.0
99,99,nm0000668,5,1.4392824297835498,Emma Thompson,writer,0.16,1.6814419331251271,-0.115972791470479,0.3367963196529385,3,28300000.0
100,100,nm0000671,1,5.057114868597177,Billy Bob Thornton,writer,0.7,-0.4440442984125082,0.3545498995033714,1.18317792355101,1,4833610.0
101,101,nm0000681,3,1.6243525913645742,Vince Vaughn,writer,0.21,0.6186988173563094,-0.0919032106043666,0.4151649866805377,3,56666666.666666664
102,102,nm0000682,1,0.1999332727272727,Paul Verhoeven,writer,-0.7,-0.4440442984125082,-0.277158227859987,-1.011144753221768,1,22000000.0
103,103,nm0000691,3,0.772002177094017,John Waters,writer,-0.11,0.6186988173563094,-0.2027569379004746,-0.0863944822960973,3,32666666.666666668
104,104,nm0000694,1,1.4306384363636364,Wim Wenders,writer,0.16,-0.4440442984125082,-0.1170969991593325,0.3367963196529385,1,55000000.0
105,105,nm0000697,2,3.5626903448275864,Billy Wilder,writer,0.55,0.0873272594719005,0.160190249001712,0.9480719224682124,1,30500000.0
106,106,nm0000698,1,30.811904642857144,Gene Wilder,writer,1.49,-0.4440442984125082,3.704128188437188,2.421402862587078,4,2800000.0
107,107,nm0000709,7,2.7887376239071946,Robert Zemeckis,writer,0.45,2.7441850488939448,0.0595326527495722,0.7913345884130141,0,76571428.57142857
108,108,nm0000720,5,6.716913341200828,Jim Abrahams,writer,0.83,1.6814419331251271,0.5704175100165483,1.386936457822768,3,21300000.0
109,109,nm0000725,1,0.0199086666666666,Joey Lauren Adams,writer,-1.7,-0.4440442984125082,-0.3005716013419608,-2.5785180937737526,1,6000000.0
110,110,nm0000735,1,0.8735187666666666,Brian Aldiss,writer,-0.06,-0.4440442984125082,-0.1895540437056636,-0.0080258152684981,1,90000000.0
111,111,nm0000740,1,0.8639703625,Irwin Allen,writer,-0.07,-0.4440442984125082,-0.1907958759074002,-0.0236995486740179,1,80000000.0
112,112,nm0000759,8,0.8214458294087837,Paul Thomas Anderson,writer,-0.09,3.2755566067783533,-0.1963264686257979,-0.0550470154850576,0,29312500.0
113,113,nm0000780,1,1.708995,Denys Arcand,writer,0.23,-0.4440442984125082,-0.0808949136322966,0.4465124534915774,1,5000000.0
114,114,nm0000783,2,0.0815100222222222,Dario Argento,writer,-1.1,0.0873272594719005,-0.2925599435126276,-1.6380940894425622,1,14500000.0
115,115,nm0000801,1,0.20393671875,Olivier Assayas,writer,-0.7,-0.4440442984125082,-0.27663755360886,-1.011144753221768,1,6400000.0
116,116,nm0000807,8,2.026070882908229,Jane Austen,writer,0.31,3.2755566067783533,-0.0396571282477936,0.5719023207357361,0,13587500.0
117,117,nm0000812,5,3.7944928,Roger Avary,writer,0.58,1.6814419331251271,0.1903376692669346,0.995093122684772,3,42640000.0
