,Unnamed: 0.1,Unnamed: 0,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,avg_budget,avg_budget_T,cluster
541,541,541,nm0138706,1,0.5548833333333333,Charles Robert Carner,director,-0.26,-0.5204078941289055,-0.1853512769215682,-0.303880206671928,1,10954817.65102801,-0.6446139759362282,1
542,542,542,nm0138809,1,62.93282,John Carney,director,1.8,-0.5204078941289055,4.37400581041726,2.7171042570249475,6,219315.44937358078,-0.8675569988523956,1
543,543,543,nm0138927,3,1.3688175843137256,Niki Caro,director,0.14,0.3236791508007487,-0.1258588170207848,0.28271871831775663,0,31261639.282407254,-0.22290438887830535,1
544,544,544,nm0139461,1,0.2222532142857143,Stephen Carpenter,director,-0.66,-0.5204078941289055,-0.20966403190810085,-0.8904791316616127,1,24343084.04384048,-0.3665812835522089,1
545,545,545,nm0139867,7,2.6544771602232395,Steve Carr,director,0.42,2.011853240660057,-0.0318867908113883,0.6933379658105359,5,53304189.82754682,0.2348508943872048,3
546,546,546,nm0140196,1,3.176135555555556,Carlos Carrera,director,0.5,-0.5204078941289055,0.006242506645787364,0.8106577508084727,1,3056469.815772382,-0.8086381183898425,1
547,547,547,nm0141222,1,1.991345394736842,David Carson,director,0.3,-0.5204078941289055,-0.08035672547701472,0.5173582883136304,1,77992833.29203255,0.7475573055342954,2
548,548,548,nm0141961,3,3.5025636626780625,Thomas Carter,director,0.54,0.3236791508007487,0.030101941299240917,0.8693176433074412,0,37473484.15141827,-0.09390367265934937,1
549,549,549,nm0142286,7,1.1803325652264238,D.J. Caruso,director,0.07,2.011853240660057,-0.13963565148430931,0.18006390644456183,5,57260351.3290112,0.31700807601817776,3
550,550,550,nm0142587,1,2.4465256,Steve Carver,director,0.39,-0.5204078941289055,-0.04708648273120215,0.6493430464363095,1,15144960.845675947,-0.5575977215757701,1
551,551,551,nm0143984,1,2.9747603,Jon Cassar,director,0.47,-0.5204078941289055,-0.008476506962152755,0.7666628314342463,1,12716495.415200386,-0.6080294027349615,1
552,552,552,nm0146341,4,3.3916534825396827,Peter Cattaneo,director,0.53,0.7457226732655758,0.021995242955334785,0.8546526701826991,0,13177968.912701702,-0.5984460321020735,1
553,553,553,nm0148116,1,1.318368736842105,Simon Cellan Jones,director,0.12,-0.5204078941289055,-0.1295462475861296,0.25338877206827237,1,19000000.0,-0.4775405368832141,1
554,554,554,nm0149446,3,2.3272024612332114,Gurinder Chadha,director,0.37,0.3236791508007487,-0.05580810495040251,0.6200131001868252,0,15739173.144703215,-0.5452577784868767,1
555,555,555,nm0149491,3,0.3354672511904762,Justin Chadwick,director,-0.47,0.3236791508007487,-0.20138893899654253,-0.6118446422915124,0,45229875.108862095,0.06717246653660407,1
556,556,556,nm0150906,1,0.5419315121951219,Gordon Chan,director,-0.27,-0.5204078941289055,-0.18629795744125272,-0.31854517979667013,1,68321482.08846779,0.5467133922728962,1
557,557,557,nm0151125,1,0.00519136,Teddy Chan,director,-2.0,-0.5204078941289055,-0.22552961766828733,-2.855585530377056,1,32686066.52913007,-0.19332346100521539,1
558,558,558,nm0151540,5,4.175504394939426,Jay Chandrasekhar,director,0.62,1.1677661957304029,0.07928883751529342,0.986637428305378,0,28324023.347528934,-0.28390954395969015,1
559,559,559,nm0152312,2,1.4864158648648649,Brenda Chapman,director,0.17,-0.09836437166407844,-0.11726326893853771,0.32671363769198297,1,180014467.74926415,2.866229647219275,2
560,560,560,nm0152469,1,0.1302488,Michael Chapman,director,-0.89,-0.5204078941289055,-0.21638886124289658,-1.2277735135306813,1,41670177.74432329,-0.006751386880769725,1
561,561,561,nm0152640,1,3.0233268,Joe Chappelle,director,0.48,-0.5204078941289055,-0.004926661811526441,0.7813278045589884,1,10011916.98228916,-0.6641950930045959,1
562,562,562,nm0152741,1,0.8771701515151515,Joe Charbanic,director,-0.06,-0.5204078941289055,-0.16179453928073534,-0.0105807441770857,1,58298208.701563105,0.33856114877120597,1
563,563,563,nm0153078,5,2.9524783814407813,Larry Charles,director,0.47,1.1677661957304029,-0.010105147291270395,0.7666628314342463,0,38045815.66656202,-0.08201812546280791,1
564,564,564,nm0153774,1,1.1639988888888888,Jacob Chase,director,0.06,-0.5204078941289055,-0.14082952013324837,0.1653989333198197,1,10604652.3,-0.651885822228305,1
565,565,565,nm0153912,1,2.7355765,Betsy Chasse,director,0.44,-0.5204078941289055,-0.02595904024205495,0.7226679120600201,1,6452575.457556044,-0.738111556734886,1
566,566,566,nm0154716,2,3.992991301923077,Stephen Chbosky,director,0.6,-0.09836437166407844,0.06594850584284649,0.9573074820558938,1,21149801.42143847,-0.4328958413149802,1
567,567,567,nm0154877,1,3.7235384,Douglas Cheek,director,0.57,-0.5204078941289055,0.04625352932170907,0.9133125626816674,1,3644119.549007686,-0.7964344594009628,1
