,Unnamed: 0.1,Unnamed: 0,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,kmeans_log,gender,avg_budget,avg_budget_T,cluster
18059,18059,18059,nm2917775,1,0.0158898,Tiffany Coty,actress,-1.7,-0.35391666264735844,-0.2698364189011479,-2.5388783024872996,0,2,0,14012234.721345365,-0.6570766414237249,1
18060,18060,18060,nm2918889,2,0.6383166686046511,Flavio Parenti,actor,-0.19,-0.072376904511128,-0.21411161354673072,-0.26500090201698584,0,5,1,21491169.527614705,-0.5013332074092134,1
18061,18061,18061,nm2918938,1,0.0210291875,Nobu Imai,actor,-1.7,-0.35391666264735844,-0.2693762983913755,-2.5388783024872996,0,2,1,22755869.18746487,-0.47499674732175046,1
18062,18062,18062,nm2919354,1,3.3153018857142857,Janelle Cambridge,actress,0.52,-0.35391666264735844,0.025554261569657292,0.8041732399260094,0,4,0,25561241.185732022,-0.4165768947603904,1
18063,18063,18063,nm2919807,1,0.18817915,Emma Hamilton,actress,-0.72,-0.35391666264735844,-0.25441165018107004,-1.0631168107913345,0,7,0,26753414.70982685,-0.39175073924582876,1
18064,18064,18064,nm2920051,1,0.10188188,Nathan Rippy,actor,-1.0,-0.35391666264735844,-0.262137696108599,-1.484762951275896,0,7,1,34010278.44986739,-0.24063177533911176,1
18065,18065,18065,nm2920344,1,4.605949857142857,Ryder Chasin,actor,0.66,-0.35391666264735844,0.14110375118305146,1.0149963101682902,0,4,1,10224496.474292807,-0.7359535640102898,1
18066,18066,18066,nm2920460,1,4.605949857142857,Fiona Lane,actress,0.66,-0.35391666264735844,0.14110375118305146,1.0149963101682902,0,4,0,10224496.474292807,-0.7359535640102898,1
18067,18067,18067,nm2920533,1,4.0826341,Keiynan Lonsdale,actor,0.61,-0.35391666264735844,0.09425219290913012,0.9397023565103326,0,4,1,12222710.147933997,-0.6943422025679149,1
18068,18068,18068,nm2921091,1,1.124804109090909,Jeremy Jordan,actor,0.05,-0.35391666264735844,-0.17055723102266176,0.09641007554120976,0,1,1,36785945.22601192,-0.18283051264668107,1
18069,18069,18069,nm2921197,1,0.0026718421052631,Johannes Holopainen,actor,0.0,-0.35391666264735844,-0.27101979990222574,0.021116121883252334,0,1,1,4644629.856214919,-0.8521502699521457,1
18070,18070,18070,nm2922572,1,0.2662951578947368,Johnny Pemberton,actor,-0.57,-0.35391666264735844,-0.24741805855679322,-0.8372349498174622,0,5,1,23223149.281074595,-0.4652659757198379,1
18071,18071,18071,nm2922713,1,0.134659125,Alannah Barlow,actress,-0.89,-0.35391666264735844,-0.25920320582579087,-1.3191162532283895,0,7,0,11696823.966590974,-0.7052934037622993,1
18072,18072,18072,nm2923159,1,2.182271896551724,Mary Sohn,actress,0.34,-0.35391666264735844,-0.07588396160400314,0.5331150067573628,0,1,0,36877836.70408112,-0.18091693875923795,1
18073,18073,18073,nm2923350,1,1.0783409047619048,Mark DellaGrotte,actor,0.03,-0.35391666264735844,-0.174717001668779,0.06629249407802679,0,1,1,56182170.890636384,0.22108192544500455,1
18074,18074,18074,nm2924024,1,0.7125089777777778,Brian Dare,actor,-0.15,-0.35391666264735844,-0.20746930391004104,-0.2047657390906199,0,5,1,45000000.0,-0.011778734442675952,1
18075,18075,18075,nm2925352,1,0.0348070666666666,Bobby Soto,actor,-1.52,-0.35391666264735844,-0.2681427886033415,-2.267820069318653,0,2,1,35348841.00000001,-0.21275717372791436,1
18076,18076,18076,nm2925571,1,0.1435766666666666,Ron Phillips,actor,-0.85,-0.35391666264735844,-0.2584048336817205,-1.2588810903020238,0,7,1,420367.04164036096,-0.9401175024476277,1
18077,18077,18077,nm2925876,1,0.0076289,JeeJa Yanin,actress,-2.0,-0.35391666264735844,-0.2705760030479318,-2.990642024435044,0,2,0,11947908.258,-0.7000647541238024,1
18078,18078,18078,nm2930503,5,1.40715979984127,Jack Reynor,actor,0.15,0.7722423698975633,-0.14527841241534706,0.24699798285712454,7,9,1,75084695.09411243,0.6147133859738448,0
18079,18079,18079,nm2930609,1,0.0014033333333333,Cara Picton,actress,0.0,-0.35391666264735844,-0.271133367307445,0.021116121883252334,0,1,0,1907474.312280058,-0.9091495639541373,1
18080,18080,18080,nm2931989,1,0.6171538181818181,Troye Sivan,actor,-0.21,-0.35391666264735844,-0.21600628708998687,-0.2951184834801688,0,5,1,13444981.162727397,-0.6688892884736841,1
18081,18081,18081,nm2932055,1,2.775587865384616,Rachel McDowall,actress,0.44,-0.35391666264735844,-0.022765404959751396,0.6837029140732775,0,4,0,75953402.38046086,0.6328035899178502,1
18082,18082,18082,nm2932097,1,1.0459583,Jake Short,actor,0.02,-0.35391666264735844,-0.17761616049087725,0.0512337033464353,0,1,1,28444836.48433109,-0.35652809827463233,1
18083,18083,18083,nm2932174,1,0.2263831555555555,Helen George,actress,-0.64,-0.35391666264735844,-0.25099131137385405,-0.9426464849386026,0,7,0,122437002.41952261,1.600791101905777,4
18084,18084,18084,nm2932183,1,0.2605494,Lisa Chung,actress,-0.59,-0.35391666264735844,-0.24793246636347355,-0.8673525312806452,0,7,0,28444836.48433109,-0.35652809827463233,1
18085,18085,18085,nm2932185,1,0.1623101333333333,Hannah Sharp,actress,-0.8,-0.35391666264735844,-0.25672765868130043,-1.1835871366440665,0,7,0,21018352.082018048,-0.5111792903804762,1
18086,18086,18086,nm2932484,1,0.05329535,Malerie Grady,actress,-1.3,-0.35391666264735844,-0.2664875644444023,-1.9365266732236404,0,2,0,26753414.70982685,-0.39175073924582876,1
18087,18087,18087,nm2933135,1,1.0020326,Robin Chalk,actor,0.0,-0.35391666264735844,-0.18154875274552051,0.021116121883252334,0,1,1,7111209.1210827725,-0.800785532201325,1
18088,18088,18088,nm2933477,1,0.840760555,James Cusati-Moyer,actor,-0.08,-0.35391666264735844,-0.19598716112734443,-0.09935420396947953,0,1,1,206800000.0,3.357589802160192,4
18089,18089,18089,nm2933542,8,1.2622874868377645,Boyd Holbrook,actor,0.1,1.6168616443062547,-0.15824858104168296,0.17170402919916716,4,0,1,101687900.6608907,1.1687059929545678,0
18090,18090,18090,nm2933757,10,1.2154249978496527,Gal Gadot,actress,0.09,2.1799411605787156,-0.1624440989555228,0.15664523846757566,4,0,0,192257784.30337992,3.054758627743109,4
18091,18091,18091,nm2934314,6,1.5743873221249174,Lily Collins,actress,0.2,1.0537821280337938,-0.130306820411216,0.322291936515082,7,9,0,63671356.0109803,0.3770388148719585,0
18092,18092,18092,nm2934699,1,0.1435766666666666,Wesley Broulik,actor,-0.85,-0.35391666264735844,-0.2584048336817205,-1.2588810903020238,0,7,1,420367.04164036096,-0.9401175024476277,1
18093,18093,18093,nm2936228,1,0.1022396,Agyness Deyn,actress,-1.0,-0.35391666264735844,-0.26210567005320706,-1.484762951275896,0,7,0,3055677.5369834993,-0.8852390582746458,1
18094,18094,18094,nm2936232,1,1.0381406111111111,Martin Sensmeier,actor,0.02,-0.35391666264735844,-0.1783160647103582,0.0512337033464353,0,1,1,114448458.73680347,1.4344354298549025,4
18095,18095,18095,nm2938641,1,0.6100869,Reid Ewing,actor,-0.21,-0.35391666264735844,-0.21663897610134047,-0.2951184834801688,0,5,1,40812334.13984087,-0.09898386170488951,1
18096,18096,18096,nm2939030,1,0.09033,Will Brill,actor,-1.05,-0.35391666264735844,-0.2631719160257448,-1.5600569049338535,0,7,1,381494.8624560116,-0.9409269875990056,1
18097,18097,18097,nm2941165,2,0.4054656195767195,Erin Wasson,actress,-0.39,-0.072376904511128,-0.23495836685727114,-0.5661767166488154,0,5,0,50050669.47530369,0.09339782191621626,1
18098,18098,18098,nm2941877,1,0.5798262272727273,Augusto Aguilera,actor,-0.24,-0.35391666264735844,-0.21934816200361568,-0.3402948556749432,0,5,1,107559849.30181918,1.2909850967820857,4
18099,18099,18099,nm2942519,1,0.82676,Cory 'Zooman' Miller,actor,-0.08,-0.35391666264735844,-0.19724060669915564,-0.09935420396947953,0,1,1,3854235.0,-0.8686096739077903,1
18100,18100,18100,nm2942983,1,0.026923,Sarah Naudi,actress,-1.52,-0.35391666264735844,-0.26884863551092464,-2.267820069318653,0,2,0,25967083.637839176,-0.40812551782004675,1
18101,18101,18101,nm2943075,1,0.0724125714285714,Johanna Mørck,actress,-1.15,-0.35391666264735844,-0.26477603254120435,-1.710644812249768,0,7,0,4904282.152470877,-0.8467431977799484,1
18102,18102,18102,nm2944939,1,0.3335990909090909,Caryn Peterson,actress,-0.48,-0.35391666264735844,-0.2413924533716902,-0.7017058332331387,0,5,0,48201197.66452324,0.05488390270374664,1
18103,18103,18103,nm2944946,1,0.3335990909090909,Christine Tomlinson,actress,-0.48,-0.35391666264735844,-0.2413924533716902,-0.7017058332331387,0,5,0,48201197.66452324,0.05488390270374664,1
18104,18104,18104,nm2944951,1,0.3335990909090909,Adeola Ariyo,actress,-0.48,-0.35391666264735844,-0.2413924533716902,-0.7017058332331387,0,5,0,48201197.66452324,0.05488390270374664,1
18105,18105,18105,nm2944952,1,0.3335990909090909,Vernon Willemse,actor,-0.48,-0.35391666264735844,-0.2413924533716902,-0.7017058332331387,0,5,1,48201197.66452324,0.05488390270374664,1
18106,18106,18106,nm2944959,1,0.2981047555555555,Porteus Xandau,actor,-0.52,-0.35391666264735844,-0.24457020007339386,-0.7619409961595048,0,5,1,60195183.097110406,0.30465001608466347,1
18107,18107,18107,nm2945137,1,0.4127829270127915,Nick Mohammed,actor,-0.39,-0.35391666264735844,-0.23430326092730444,-0.5661767166488154,0,5,1,162439817.86604282,2.4338209396130477,4
18108,18108,18108,nm2945270,1,0.1831814130434782,Anand Tiwari,actor,-0.74,-0.35391666264735844,-0.2548590889616919,-1.0932343922545174,0,7,1,12891255.943637736,-0.6804202175906447,1
18109,18109,18109,nm2945547,1,0.3335990909090909,Daniel Read,actor,-0.48,-0.35391666264735844,-0.2413924533716902,-0.7017058332331387,0,5,1,48201197.66452324,0.05488390270374664,1
18110,18110,18110,nm2945557,1,0.5600091555555555,Henri Young,actor,-0.25,-0.35391666264735844,-0.2211223502975907,-0.3553536464065347,0,5,1,64000882.08974495,0.38390095826985543,1
18111,18111,18111,nm2945768,1,0.0073246666666666,Danielle Brown,actress,-2.0,-0.35391666264735844,-0.27060324053419316,-2.990642024435044,0,2,0,6400088.208974495,-0.8155941133322149,1
18112,18112,18112,nm2946106,1,0.9177178,Jim Gallien,actor,-0.04,-0.35391666264735844,-0.18909731154894988,-0.039119041043113596,0,1,1,29242059.916477438,-0.3399264941404144,1
18113,18113,18113,nm2946456,1,0.9982733777777778,Jamal Woolard,actor,0.0,-0.35391666264735844,-0.1818853094354445,0.021116121883252334,0,1,1,56047237.38335136,0.21827203228072997,1
